Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2015,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2014,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2013,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2012,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2011,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2010,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2009,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2008,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2007,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2006,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2005,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2004,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2003,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2002,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2001,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2000
Morocco; Data source; Wine,,0.21,0.2,0.28,0.27,0.27,0.29,0.17,0.26,0.29,0.17,0.28,0.3,0.18,0.18,0.19
Morocco; Data source; Spirits,,0.06,0.07,0.08,0.09,0.09,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05
Morocco; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique; Data source; All types,,,1.16,1.19,0.94,0.96,1.18,1.48,1.03,1.2,1.23,1.54,1.68,2.16,2.09,1.14
Mozambique; Data source; Beer,,,0.75,0.73,0.69,0.61,0.57,0.59,0.55,0.51,0.51,0.49,0.45,0.43,0.5,0.52
Mozambique; Data source; Wine,,,0.11,0.11,0.11,0.1,0.11,0.11,0.09,0.09,0.09,0.08,0.06,0.09,0.07,0.07
Mozambique; Data source; Spirits,,,0.25,0.3,0.08,0.19,0.47,0.76,0.37,0.58,0.6,0.91,1.11,1.57,1.47,0.52
Mozambique; Data source; Other alcoholic beverages,,,0.05,0.04,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.07,0.05,0.03
Myanmar; Data source; All types,,,0.7,0.55,0.33,0.3,0.28,0.3,0.26,0.28,0.28,0.44,0.4,0.41,0.38,0.35
Myanmar; Data source; Beer,,,0.44,0.34,0.16,0.14,0.13,0.12,0.11,0.11,0.12,0.13,0.12,0.12,0.1,0.1
Myanmar; Data source; Wine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar; Data source; Spirits,,,0.26,0.2,0.17,0.16,0.15,0.17,0.14,0.16,0.16,0.31,0.28,0.29,0.28,0.25
Myanmar; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia; Data source; All types,,,,,7.84,7.58,7.99,6.28,5.12,4.94,4.89,4.8,5.28,5.09,5.09,5.73
Namibia; Data source; Beer,,,,,7.3,7.16,7.64,5.94,3.75,3.57,3.36,3.18,3.29,3.57,3.43,3.6
Namibia; Data source; Wine,,,,,0.06,0.06,0.02,0.03,0.28,0.24,0.11,0.12,0.67,0.29,0.52,0.88
Namibia; Data source; Spirits,,,,,0.21,0.07,0.06,0.04,0.78,0.8,0.98,0.99,0.82,0.75,0.69,0.8
Namibia; Data source; Other alcoholic beverages,,,,,0.26,0.28,0.27,0.26,0.31,0.33,0.44,0.5,0.5,0.47,0.45,0.46
Nauru; Data source; All types,,,,,,1.1,0.97,0.95,0.98,0.97,0.96,1.04,0.87,1.01,2.14,3.21
Nauru; Data source; Beer,,,,,,0.94,0.94,0.94,0.94,0.94,0.95,0.95,0.79,0.91,2,3.21
Nauru; Data source; Wine,,,,,,0.16,0.02,0.01,0.04,0.03,0.02,0.09,0.07,0.11,0.14,0
Nauru; Data source; Spirits,,,,,,0,0,0,0,0,0,0,0,0,0,0
Nauru; Data source; Other alcoholic beverages,,,,,,0,0,0,0,0,0,0,0,0,0,0
Nepal; Data source; All types,,,0.27,0.26,0.27,0.24,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.09,0.08
Nepal; Data source; Beer,,,0.15,0.13,0.14,0.12,0.1,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07
Nepal; Data source; Wine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal; Data source; Spirits,,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.01,0.01
Nepal; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands; Data source; All types,,,8.68,9.05,8.96,9.33,9.23,9.62,9.53,9.79,9.69,9.56,9.56,9.68,9.95,10.06
Netherlands; Data source; Beer,,,4.2,4.37,4.34,4.36,4.37,4.75,4.76,4.77,4.78,4.8,4.81,4.83,4.87,4.99
Netherlands; Data source; Wine,,,2.97,3.16,3.14,3.39,3.28,3.29,3.18,3.43,3.31,3.1,2.94,2.84,2.98,3.01
Netherlands; Data source; Spirits,,,1.52,1.52,1.49,1.58,1.58,1.58,1.59,1.59,1.59,1.66,1.81,2.01,2.1,2.06
Netherlands; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand; Data source; All types,8.7,9.07,9.18,9.2,9.47,9.62,9.24,9.49,9.19,9.34,9.31,9.15,8.91,9.13,8.75,8.91
New Zealand; Data source; Beer,3.29,3.34,3.45,3.38,3.65,3.67,3.78,4.03,3.94,3.94,4.1,4.11,4.17,4.24,4.18,4.22
New Zealand; Data source; Wine,2.92,3.15,3.01,3,3.01,3.26,3.07,3.08,3.05,3.14,3.04,2.85,2.73,2.74,2.51,2.57
New Zealand; Data source; Spirits,1.41,1.48,1.52,1.52,1.53,1.46,1.23,1.25,1.1,1.35,1.37,1.45,1.26,1.34,1.29,1.37
New Zealand; Data source; Other alcoholic beverages,1.08,1.03,1.14,1.23,1.23,1.22,1.15,1.13,1.09,0.91,0.81,0.7,0.69,0.68,0.62,0.55
Nicaragua; Data source; All types,,3.55,3.58,3.63,3.39,3.38,3.36,3.64,3.83,3.69,3.7,3.81,3.77,3.5,3.51,3.61
Nicaragua; Data source; Beer,,1.39,1.35,1.33,1.33,1.33,1.32,1.38,1.31,1.19,1.13,1.08,1.09,1.04,1.04,1.04
Nicaragua; Data source; Wine,,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02
Nicaragua; Data source; Spirits,,2.14,2.2,2.28,2.04,2.03,2.03,2.24,2.5,2.49,2.55,2.71,2.67,2.44,2.45,2.54
Nicaragua; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger; Data source; All types,,,,,0.15,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.1
Niger; Data source; Beer,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06
Niger; Data source; Wine,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Niger; Data source; Spirits,,,,,0.07,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.02
Niger; Data source; Other alcoholic beverages,,,,,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.01
Nigeria; Data source; All types,,,8.3,8.54,8.75,8.9,9.05,9.3,9.55,9.66,9.71,9.76,9.75,9.61,9.58,9.23
Nigeria; Data source; Beer,,,0.76,0.75,0.74,0.7,0.65,0.64,0.64,0.6,0.54,0.52,0.53,0.45,0.45,0.42
Nigeria; Data source; Wine,,,0.05,0.05,0.04,0.03,0.02,0.06,0.04,0,0,0,0,0,0,0
Nigeria; Data source; Spirits,,,0.06,0.06,0.06,0.08,0.03,0.03,0.06,0.02,0.02,0.01,0.02,0,0.02,0
Nigeria; Data source; Other alcoholic beverages,,,7.43,7.67,7.9,8.09,8.36,8.57,8.8,9.04,9.15,9.23,9.21,9.16,9.11,8.81
Niue; Data source; All types,,,,,5.99,4.9,7.06,7.02,5.02,7.1,6.22,8.71,8.47,5.29,9.37,7.54
Niue; Data source; Beer,,,,,3.13,1.9,3.1,3.3,2.1,3.76,3.15,5.04,2.28,1.32,2.15,4.19
Niue; Data source; Wine,,,,,0.74,0.6,0.36,0.12,0.12,0.34,0.11,1.85,0.11,1.16,0,0
Niue; Data source; Spirits,,,,,2.12,2.4,3.6,3.6,2.8,3,2.96,1.82,6.08,2.81,7.22,3.35
Niue; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Norway; Data source; All types,5.97,6.06,6.21,6.21,6.53,6.59,6.68,6.75,6.6,6.47,6.37,6.22,6.04,5.89,5.49,5.67
Norway; Data source; Beer,2.57,2.62,2.68,2.67,2.83,2.91,2.96,3.06,3.02,3.01,2.98,2.96,2.76,2.89,2.82,2.93
Norway; Data source; Wine,2.22,2.25,2.3,2.29,2.39,2.29,2.28,2.23,2.11,2.05,2,1.9,1.84,1.81,1.6,1.62
Norway; Data source; Spirits,1.03,1.04,1.09,1.11,1.18,1.25,1.31,1.33,1.35,1.3,1.28,1.25,1.22,1.12,1,1.05
Norway; Data source; Other alcoholic beverages,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.22,0.07,0.07,0.07
Oman; Data source; All types,,0.4,0.46,0.51,0.54,0.56,0.56,0.57,0.57,0.58,0.63,0.61,0.56,0.54,0.55,0.38
Oman; Data source; Beer,,0.18,0.18,0.2,0.21,0.22,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.24,0.28,0.13
Oman; Data source; Wine,,0,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Oman; Data source; Spirits,,0.22,0.26,0.29,0.31,0.31,0.31,0.32,0.33,0.35,0.4,0.39,0.35,0.29,0.27,0.25
Oman; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan; Data source; All types,,,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.02
Pakistan; Data source; Beer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan; Data source; Wine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan; Data source; Spirits,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0
Pakistan; Data source; Other alcoholic beverages,,,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Palau; Data source; All types,,,,,,,,,,8.86,11.3,9.01,6.98,,,
Palau; Data source; Beer,,,,,,,,,,6.88,8.68,7.07,4.87,,,
Palau; Data source; Wine,,,,,,,,,,0.52,0.52,0.41,0.27,,,
Palau; Data source; Spirits,,,,,,,,,,1.45,2.1,1.53,1.84,,,
Palau; Data source; Other alcoholic beverages,,,,,,,,,,0,0,0,0,,,
Panama; Data source; All types,,6.74,6.89,6.95,6.9,6.94,6.87,6.74,6.16,5.72,5.53,5.69,5.52,5.52,5.43,5.58
Panama; Data source; Beer,,5.23,5.11,5.01,4.91,4.82,4.78,4.61,4.17,3.8,3.59,3.6,3.39,3.35,3.37,3.41
Panama; Data source; Wine,,0.21,0.21,0.22,0.24,0.31,0.23,0.23,0.22,0.18,0.15,0.22,0.14,0.13,0.11,0.13
Panama; Data source; Spirits,,1.28,1.55,1.7,1.73,1.79,1.84,1.87,1.75,1.72,1.77,1.85,1.98,2.03,1.93,2.03
Panama; Data source; Other alcoholic beverages,,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
Papua New Guinea; Data source; All types,,,,,0.88,0.79,0.82,0.81,0.71,0.64,0.84,0.58,0.59,0.61,0.68,0.73
Papua New Guinea; Data source; Beer,,,,,0.85,0.76,0.79,0.76,0.68,0.61,0.81,0.56,0.57,0.59,0.63,0.59
Papua New Guinea; Data source; Wine,,,,,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.04
Papua New Guinea; Data source; Spirits,,,,,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.04,0.11
Papua New Guinea; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay; Data source; All types,,,5.03,5.36,5.79,5.65,5.39,6.14,5.61,5.61,6.38,6.2,6.64,5.66,6.66,6.78
Paraguay; Data source; Beer,,,2.57,2.71,2.61,2.39,2.19,2.4,2.4,2.35,3.48,3.48,3.67,3.7,4.2,3.79
Paraguay; Data source; Wine,,,0.53,0.73,1.09,1.32,1.31,1.74,1.35,1.21,0.99,0.89,0.9,0.41,0.62,0.93
Paraguay; Data source; Spirits,,,1.94,1.92,2.09,1.88,1.83,1.92,1.79,1.93,1.77,1.72,2.03,1.5,1.83,2.02
Paraguay; Data source; Other alcoholic beverages,,,0,0,0,0.07,0.07,0.08,0.09,0.13,0.14,0.11,0.04,0.06,0.01,0.04
Peru; Data source; All types,,,5.38,5.14,4.83,4.72,4.69,4.85,4.29,4.22,4.44,4.27,4.5,4.03,4.22,4.59
Peru; Data source; Beer,,,3.3,3.09,2.75,2.7,2.71,2.73,2.36,2.07,1.92,1.66,1.69,1.75,1.7,1.69
Peru; Data source; Wine,,,0.44,0.42,0.43,0.36,0.35,0.44,0.42,0.42,0.42,0.33,0.35,0.32,0.3,0.23
Peru; Data source; Spirits,,,1.64,1.63,1.64,1.67,1.64,1.68,1.5,1.73,2.1,2.27,2.46,1.95,2.21,2.67
Peru; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines; Data source; All types,,4.52,4.61,5.02,4.96,4.85,4.42,4.21,4.19,4.08,4.22,4.45,4.44,4.42,4.54,4.73
Philippines; Data source; Beer,,1.11,1.13,1.28,1.31,1.32,1.23,1.24,1.2,1.15,1.29,1.36,1.21,1.11,1.12,1.18
Philippines; Data source; Wine,,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01
Philippines; Data source; Spirits,,3.38,3.45,3.7,3.52,3.37,3.14,2.95,2.97,2.92,2.91,3.07,3.23,3.29,3.41,3.54
Philippines; Data source; Other alcoholic beverages,,0.01,0.02,0.03,0.12,0.14,0.03,0.01,0,0,0,0,0,0,0,0
Poland; Data source; All types,,10.71,11.63,10.81,10.93,10.59,10.7,11.4,10.9,10.4,9.5,9.19,9.06,8.02,7.74,8.4
Poland; Data source; Beer,,6.45,6.39,6.46,6.11,5.88,5.9,6.1,6.1,5.9,5.3,4.66,4.51,4.31,4.08,4.14
Poland; Data source; Wine,,0.86,0.84,0.82,0.94,0.94,1,1.2,1.3,1.3,1.2,1.53,1.64,1.64,1.56,1.78
Poland; Data source; Spirits,,3.4,4.41,3.53,3.88,3.77,3.8,4.1,3.5,3.2,3,3.01,2.9,2.07,2.09,2.48
Poland; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal; Data source; All types,,9.88,10,11.96,11.92,12.25,12.03,12.35,12.57,13.11,13.33,13.45,14.21,12,12.22,11.89
Portugal; Data source; Beer,,2.67,2.79,2.81,3.11,3.37,3.42,3.56,3.7,3.77,3.75,3.7,3.57,3.58,3.65,3.75
Portugal; Data source; Wine,,5.99,6.01,7.88,7.45,7.49,7.21,7.29,7.31,7.79,7.99,8.05,8.74,6.48,6.65,6.55
Portugal; Data source; Spirits,,0.8,0.81,0.85,0.92,0.93,0.94,1.01,1.06,1.07,1.12,1.23,1.56,1.59,1.6,1.57
Portugal; Data source; Other alcoholic beverages,,0.42,0.39,0.41,0.44,0.46,0.46,0.49,0.5,0.48,0.47,0.47,0.33,0.35,0.33,0.02
Qatar; Data source; All types,,1.15,1.2,1.13,1.16,1.16,1.11,1.37,1.24,1.28,1.18,1.11,1,0.87,0.76,0.5
Qatar; Data source; Beer,,0.31,0.31,0.33,0.32,0.33,0.34,0.36,0.38,0.41,0.35,0.28,0.25,0.21,0.13,0.09
Qatar; Data source; Wine,,0.15,0.18,0.12,0.13,0.11,0.09,0.27,0.12,0.17,0.11,0.1,0.07,0.05,0.05,0
Qatar; Data source; Spirits,,0.69,0.7,0.68,0.71,0.71,0.67,0.74,0.73,0.7,0.71,0.73,0.68,0.61,0.58,0.41
Qatar; Data source; Other alcoholic beverages,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Republic of Korea; Data source; All types,,,9.33,9.56,9.34,9.23,8.97,9.31,9.05,8.83,9.03,9.18,9.66,9.55,11.45,10.33
Republic of Korea; Data source; Beer,,,2.07,2.02,1.94,1.88,2.37,2.43,2.34,2.22,1.89,2,2.32,2.41,2.37,2.23
Republic of Korea; Data source; Wine,,,0.15,0.13,0.13,0.14,0.14,0.18,0.19,0.14,0.12,0.15,0.04,0.04,0.04,0.03
Republic of Korea; Data source; Spirits,,,0.39,0.38,0.38,0.4,0.27,0.33,0.37,0.33,0.34,0.32,0.47,0.52,0.47,0.46
Republic of Korea; Data source; Other alcoholic beverages,,,6.72,7.04,6.9,6.82,6.19,6.37,6.15,6.14,6.68,6.72,6.82,6.58,8.56,7.61
Republic of Moldova; Data source; All types,,9.99,10.49,10.68,9.45,8.25,8.45,9.07,9.66,8.36,10.78,12.27,8.15,6.71,10.98,9.89
Republic of Moldova; Data source; Beer,,1.92,2.1,2.28,2.11,1.89,1.83,2.22,2.16,1.88,1.61,1.39,1.08,0.86,0.64,0.48
Republic of Moldova; Data source; Wine,,4.9,4.89,4.89,3.59,2.59,2.74,2.75,3.06,1.91,4.15,6.14,2.88,2,6.69,5.82
Republic of Moldova; Data source; Spirits,,2.94,3.27,3.29,3.52,3.54,3.63,3.8,4.03,3.9,4.33,4.06,4.19,3.85,3.65,3.59
Republic of Moldova; Data source; Other alcoholic beverages,,0.22,0.23,0.23,0.23,0.23,0.25,0.3,0.41,0.68,0.7,0.67,0,0,0,0
Romania; Data source; All types,,,9.59,9.58,9.1,9,10.4,11.9,10.6,8.51,7.68,9.82,8.78,9.62,9.78,10.16
Romania; Data source; Beer,,,5.11,5.31,4.7,4.5,4.9,5.5,5.44,4.62,4.07,4.24,3.64,3.38,3.12,3.18
Romania; Data source; Wine,,,3.07,2.98,3,2.6,3.1,3.5,3.3,2.99,2.33,4.29,3.33,3.92,3.16,3.47
Romania; Data source; Spirits,,,1.41,1.29,1.4,1.9,2.4,2.9,1.9,0.9,1.28,1.29,1.82,2.32,3.5,3.52
Romania; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation; Data source; All types,,10.12,10.58,10.99,11.04,11.05,11.21,12.04,12.19,11.79,11.57,11.5,11.32,10.87,10.47,10.18
Russian Federation; Data source; Beer,,4.19,4.09,4.2,4.16,4.11,4.18,4.64,4.71,4.1,3.65,3.47,3.1,2.92,2.63,2.18
Russian Federation; Data source; Wine,,1.12,1.11,1.21,1.24,1.28,1.25,1.26,1.17,1,1.03,0.95,0.9,0.8,0.75,0.71
Russian Federation; Data source; Spirits,,4.57,4.85,5.47,5.52,5.53,5.77,6.14,6.32,6.7,6.89,7.09,7.32,7.15,7.09,7.29
Russian Federation; Data source; Other alcoholic beverages,,0.23,0.25,0.11,0.13,0.13,0,0,0,0,0,0,0,0,0,0
Rwanda; Data source; All types,,,,,8.34,7.92,7.11,6.39,6.78,6.88,7.01,6.75,6.66,7.82,5.72,7.13
Rwanda; Data source; Beer,,,,,0.86,0.8,0.71,0.58,0.65,0.63,0.54,0.45,0.44,0.58,0.53,0.58
Rwanda; Data source; Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda; Data source; Spirits,,,,,0.09,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01
Rwanda; Data source; Other alcoholic beverages,,,,,7.39,7.08,6.37,5.78,6.1,6.24,6.44,6.26,6.21,7.23,5.17,6.54
Saint Kitts and Nevis; Data source; All types,,8.68,8.54,8.47,8.28,8.38,9.68,10.07,10.13,10.79,10.02,9.14,8.54,8.29,8.55,8.41
Saint Kitts and Nevis; Data source; Beer,,4.01,3.96,3.91,3.78,3.79,3.76,3.81,3.87,3.96,3.85,3.39,3.15,3.09,3.54,3.62
Saint Kitts and Nevis; Data source; Wine,,0.41,0.39,0.35,0.31,0.55,0.9,0.85,0.54,0.35,0.23,0.32,0.23,0.31,0.39,0.65
Saint Kitts and Nevis; Data source; Spirits,,4.06,4.02,4.04,3.99,3.84,4.79,5.16,5.46,6.24,5.73,5.23,5.15,4.88,4.6,4.13
Saint Kitts and Nevis; Data source; Other alcoholic beverages,,0.2,0.18,0.17,0.22,0.2,0.24,0.25,0.26,0.25,0.22,0.19,0.01,0.01,0.02,0.02
Saint Lucia; Data source; All types,,9.97,9.73,9.99,10.43,10.87,11.09,12.09,12.68,13.45,12.32,11.93,12.55,11.85,12.03,11.69
Saint Lucia; Data source; Beer,,3.27,3.28,3.28,3.27,3.28,3.28,3.49,3.86,3.82,3.57,3.39,3.36,3.11,3.22,3.22
Saint Lucia; Data source; Wine,,1.46,1.32,1.17,1.3,1.45,1.2,1.28,1.36,1.68,0.72,0.69,0.85,0.77,1.18,1.11
Saint Lucia; Data source; Spirits,,4.78,4.66,5.03,5.32,5.55,5.9,6.45,6.56,7.07,7.16,7.03,8.28,7.91,7.56,7.3
Saint Lucia; Data source; Other alcoholic beverages,,0.46,0.46,0.51,0.54,0.59,0.71,0.86,0.89,0.87,0.86,0.82,0.06,0.06,0.06,0.06
Saint Vincent and the Grenadines; Data source; All types,,7.01,7.07,6.93,7.02,7,6.85,6.92,5.89,5.93,6.04,5.42,5.1,4.94,4.73,4.8
Saint Vincent and the Grenadines; Data source; Beer,,2.49,2.41,2.34,2.35,2.32,2.29,2.37,2.47,2.59,2.43,2.03,1.84,1.92,1.97,1.96
Saint Vincent and the Grenadines; Data source; Wine,,0.23,0.34,0.33,0.3,0.33,0.42,0.32,0.29,0.27,0.19,0.14,0.12,0.19,0.07,0.08
Saint Vincent and the Grenadines; Data source; Spirits,,4.13,4.16,4.14,4.26,4.22,4,4.1,3,2.95,3.32,3.15,3.13,2.82,2.67,2.75
Saint Vincent and the Grenadines; Data source; Other alcoholic beverages,,0.16,0.15,0.12,0.11,0.13,0.14,0.13,0.13,0.12,0.11,0.09,0.01,0.01,0.01,0.01
Samoa; Data source; All types,,,,,2.15,3.01,2.88,3.97,3.85,3.52,3.63,3.62,4.17,3.3,3.43,3
Samoa; Data source; Beer,,,,,1.94,2.57,2.55,3.65,3.6,3.37,3.31,3.3,3.71,3.04,3.26,2.85
Samoa; Data source; Wine,,,,,0.09,0.09,0.06,0.05,0.09,0.09,0.08,0.06,0.06,0.05,0.02,0.03
Samoa; Data source; Spirits,,,,,0.12,0.35,0.26,0.27,0.17,0.07,0.24,0.26,0.4,0.22,0.15,0.12
Samoa; Data source; Other alcoholic beverages,,,,,3,3,3,3,3,3,3,3,3,3,3,3
San Marino;  ; All types,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino;  ; Beer,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino;  ; Wine,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino;  ; Spirits,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino;  ; Other alcoholic beverages,,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino; Data source; All types,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino; Data source; Beer,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino; Data source; Wine,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino; Data source; Spirits,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino; Data source; Other alcoholic beverages,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Sao Tome and Principe; Data source; All types,,,,,5.69,5.58,4.13,4.36,4.14,5.46,5.27,5.78,6.54,5.8,5.02,5.07
Sao Tome and Principe; Data source; Beer,,,,,0.67,0.79,0.89,0.94,0.94,1.01,1.12,1.12,1.14,1.16,1.15,1.17
Sao Tome and Principe; Data source; Wine,,,,,4.51,4.26,2.67,2.71,2.6,3.87,3.42,3.91,4.63,3.92,2.98,3.26
Sao Tome and Principe; Data source; Spirits,,,,,0.5,0.52,0.57,0.7,0.6,0.59,0.74,0.75,0.77,0.72,0.89,0.64
Sao Tome and Principe; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia; Data source; All types,,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.08,0.05,0.06,0.05,0.05,0.05,0.05
Saudi Arabia; Data source; Beer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia; Data source; Wine,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Saudi Arabia; Data source; Spirits,,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.05,0.06,0.05,0.05,0.05,0.05
Saudi Arabia; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal; Data source; All types,,0.26,0.26,0.28,0.32,0.28,0.3,0.28,0.32,0.34,0.33,0.35,0.33,0.36,0.34,0.29
Senegal; Data source; Beer,,0.14,0.14,0.14,0.15,0.14,0.15,0.18,0.17,0.16,0.16,0.16,0.13,0.14,0.16,0.16
Senegal; Data source; Wine,,0.09,0.09,0.11,0.13,0.12,0.13,0.07,0.12,0.14,0.12,0.15,0.17,0.18,0.14,0.09
Senegal; Data source; Spirits,,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.04,0.03,0.04,0.04,0.04
Senegal; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia; Data source; All types,,9.09,9.16,9.38,9.56,9.65,9.85,9.54,9.3,8.58,9.6,7.42,7.25,6.95,7.53,7.38
Serbia; Data source; Beer,,2.61,2.69,2.87,2.93,2.88,3.03,3.47,3.6,3.62,4.77,3.21,3.07,2.91,3.65,3.68
Serbia; Data source; Wine,,4.16,4.17,4.18,4.31,4.45,4.49,3.74,3.38,2.63,2.38,1.61,1.55,1.51,1.48,1.38
Serbia; Data source; Spirits,,2.11,2.1,2.12,2.13,2.12,2.13,2.12,2.12,2.13,2.45,2.6,2.64,2.53,2.41,2.31
Serbia; Data source; Other alcoholic beverages,,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0,0,0,0,0,0
Seychelles; Data source; All types,,,,,9.72,6.51,4.94,6.33,8.12,8.12,7.82,7.91,7.41,11.15,6.72,8.24
Seychelles; Data source; Beer,,,,,4.9,2.75,2.75,4.54,4.82,4.59,5.21,5.18,5.95,6.5,6.14,6.27
Seychelles; Data source; Wine,,,,,2.71,2.33,1.62,1.46,1.9,2.3,1.03,1.19,0.63,3.72,0.16,0.91
Seychelles; Data source; Spirits,,,,,2.11,1.42,0.57,0.33,1.4,1.23,1.59,1.54,0.83,0.93,0.42,1.07
Seychelles; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
